reprompts,total_input_tokens,total_output_tokens,total_tokens
0,1634,264,1898
0,3289,399,3688
0,4943,534,5477
0,6602,669,7271
0,8260,804,9064
0,9923,939,10862
0,11585,1074,12659
0,13253,1209,14462
1,18700,1742,20442
