B201_level,B202_level,B203_level,B204_level,valve_in0,valve_in1,valve_in2,valve_out,valve_pump_tank_B201,valve_pump_tank_B202,valve_pump_tank_B203,valve_pump_tank_B204,pump_power
0.0290092340975985,0.022,0.022,0.022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0330000001033,0.022,0.022,0.022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0330000001033,0.0290092340976549,0.022,0.022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0330000001033,0.0330000001033,0.022,0.022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0330000001033,0.0330000001033,0.0290092340976549,0.022,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,750.0
0.0330000001033,0.0330000001033,0.0290092340976549,0.022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,750.0
0.0219999998977993,0.0330000001033,0.0330000001033,0.0331175789872009,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0219999998977993,0.0219999998977999,0.0330000001033,0.0442459356967249,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0219999998977993,0.0219999998977999,0.0330000001033,0.044254359499781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0219999998977993,0.0219999998977999,0.0219999998977999,0.0552849836881071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
