reprompts,total_input_tokens,total_output_tokens,total_tokens
0,1477,286,1763
3,11011,1938,12949
3,20783,3192,23975
3,30620,4664,35284
3,40451,6151,46602
3,50402,7358,57760
3,60262,9399,69661
